"label","value","mean"
"Theologische Fakultät",1,2.14073913043478
"Philosophische Fakultät ",4,2.16214227642276
"Sozialwissenschaftliche Fakultät",13,2.1777074829932
"Medizinische Fakultät ",3,2.25959259259259
"Fakultät für Biologie und Psychologie",9,2.32194326241135
"Fakultät für Forstwissenschaften und Waldökologie",10,2.3250119047619
"Fakultät für Geowissenschaften und Geographie",8,2.382525
"Fakultät für Agrarwissenschaften",11,2.40157142857143
"Fakultät für Physik",6,2.449125
"Gemeinsame und Zentrale Einrichtungen",17,2.54185810810811
"Wirtschaftswissenschaftliche Fakultät",12,2.7264161849711
"Juristische Fakultät",2,2.81010344827586
"Fakultät für Chemie ",7,2.87451851851852
"Fakultät für Mathematik und Informatik",5,2.99055882352941
